# Quantiloom - Concrete: a day's forcing for the surface energy balance
#
# Urban pad: the city holds its heat overnight and the haze puts a quarter of the beam into the sky.
#
# Written by scripts/gen_env_forcing.py -- edit that, not this. The sun path is
# solved from env_concrete.toml's own [lighting] sun_direction: at 14.0 h it
# points exactly where that scene is lit from, so the surface the solver warms
# is the surface the render shows lit. Latitude -3.9 deg, declination
# 20.0 deg.
#
# Columns, in the order ThermalSolver::LoadForcingCsv reads them. The last two
# are optional and were added with the diffuse-sky and evaporation terms; a
# file without them still reads.
#
#   time_h, air_temperature_k, sun_irradiance_w_m2,
#   sun_azimuth_deg, sun_elevation_deg, sky_temperature_k,
#   diffuse_irradiance_w_m2, relative_humidity
#
# Azimuth runs from north through east; elevation from the horizon. Below the
# horizon the beam is zero, which is what lets the ground cool. The sky
# temperature is Berdahl-Fromberg on this hour's air and humidity, the same
# correlation the renderer's clear-sky model uses.
#
# The column line is commented: LoadForcingCsv only tolerates a header on the
# very first line, and this file has a preamble.
#time_h,air_temperature_k,sun_irradiance_w_m2,sun_azimuth_deg,sun_elevation_deg,sky_temperature_k,diffuse_irradiance_w_m2,relative_humidity
0.0,298.76,0.0,276.8,-73.9,283.26,0.0,50.5
1.0,297.80,0.0,317.8,-68.2,282.15,0.0,52.4
2.0,297.20,0.0,335.5,-56.6,281.44,0.0,53.6
3.0,297.00,0.0,342.8,-43.3,281.20,0.0,54.0
4.0,297.20,0.0,346.0,-29.5,281.44,0.0,53.6
5.0,297.80,0.0,347.1,-15.4,282.15,0.0,52.4
6.0,298.76,0.0,346.9,-1.3,283.26,0.0,50.5
7.0,300.00,388.1,345.3,12.7,284.68,22.2,48.0
8.0,301.45,675.8,342.2,26.5,286.29,78.3,45.1
9.0,303.00,795.8,336.7,39.8,287.96,132.4,42.0
10.0,304.55,854.2,326.7,52.1,289.57,175.2,38.9
11.0,306.00,882.3,308.0,61.9,291.00,202.4,36.0
12.0,307.24,890.7,276.8,66.1,292.16,211.8,33.5
13.0,308.20,882.3,245.7,61.9,293.00,202.4,31.6
14.0,308.80,854.2,227.0,52.1,293.51,175.2,30.4
15.0,309.00,795.8,217.0,39.8,293.68,132.4,30.0
16.0,308.80,675.8,211.5,26.5,293.51,78.3,30.4
17.0,308.20,388.1,208.3,12.7,293.00,22.2,31.6
18.0,307.24,0.0,206.8,-1.3,292.16,0.0,33.5
19.0,306.00,0.0,206.5,-15.4,291.00,0.0,36.0
20.0,304.55,0.0,207.7,-29.5,289.57,0.0,38.9
21.0,303.00,0.0,210.9,-43.3,287.96,0.0,42.0
22.0,301.45,0.0,218.2,-56.6,286.29,0.0,45.1
23.0,300.00,0.0,235.8,-68.2,284.68,0.0,48.0
24.0,298.76,0.0,276.8,-73.9,283.26,0.0,50.5
